"Name","Status","StartType"
"AJRouter","Stopped","Manual"
"ALG","Stopped","Manual"
"AppIDSvc","Stopped","Manual"
"Appinfo","Stopped","Manual"
"AppMgmt","Stopped","Manual"
"AppReadiness","Stopped","Manual"
"AppVClient","Stopped","Disabled"
"AppXSvc","Stopped","Manual"
"AudioEndpointBuilder","Stopped","Manual"
"Audiosrv","Stopped","Manual"
"AxInstSV","Stopped","Manual"
"BFE","Running","Automatic"
"BITS","Stopped","Manual"
"BrokerInfrastructure","Running","Automatic"
"BTAGService","Stopped","Manual"
"BthAvctpSvc","Stopped","Manual"
"bthserv","Stopped","Manual"
"camsvc","Stopped","Manual"
"CaptureService_2d9fe","Stopped","Manual"
"cbdhsvc_2d9fe","Stopped","Manual"
"CDPSvc","Running","Automatic"
"CDPUserSvc_2d9fe","Running","Automatic"
"CertPropSvc","Stopped","Manual"
"ClipSVC","Stopped","Manual"
"COMSysApp","Running","Manual"
"ConsentUxUserSvc_2d9fe","Stopped","Manual"
"CoreMessagingRegistrar","Running","Automatic"
"CryptSvc","Running","Automatic"
"CscService","Stopped","Disabled"
"DcomLaunch","Running","Automatic"
"defragsvc","Stopped","Manual"
"DeviceAssociationService","Stopped","Manual"
"DeviceInstall","Stopped","Manual"
"DevicePickerUserSvc_2d9fe","Stopped","Manual"
"DevicesFlowUserSvc_2d9fe","Stopped","Manual"
"DevQueryBroker","Stopped","Manual"
"Dhcp","Running","Automatic"
"diagnosticshub.standardcollector.service","Stopped","Manual"
"DiagTrack","Running","Automatic"
"DmEnrollmentSvc","Stopped","Manual"
"dmwappushservice","Stopped","Manual"
"Dnscache","Running","Automatic"
"DoSvc","Stopped","Manual"
"dot3svc","Stopped","Manual"
"DPS","Running","Automatic"
"DsmSvc","Stopped","Manual"
"DsSvc","Stopped","Manual"
"Eaphost","Stopped","Manual"
"EFS","Stopped","Manual"
"embeddedmode","Stopped","Manual"
"EntAppSvc","Stopped","Manual"
"EventLog","Running","Automatic"
"EventSystem","Running","Automatic"
"fdPHost","Stopped","Manual"
"FDResPub","Stopped","Manual"
"FontCache","Running","Automatic"
"FrameServer","Stopped","Manual"
"gpsvc","Running","Automatic"
"GraphicsPerfSvc","Stopped","Manual"
"hidserv","Stopped","Manual"
"HvHost","Stopped","Manual"
"icssvc","Stopped","Manual"
"IKEEXT","Stopped","Manual"
"InstallService","Stopped","Manual"
"iphlpsvc","Running","Automatic"
"KeyIso","Running","Manual"
"KPSSVC","Stopped","Manual"
"KtmRm","Stopped","Manual"
"LanmanServer","Running","Automatic"
"LanmanWorkstation","Running","Automatic"
"lfsvc","Stopped","Manual"
"LicenseManager","Stopped","Manual"
"lltdsvc","Stopped","Manual"
"lmhosts","Running","Manual"
"LSM","Running","Automatic"
"MapsBroker","Stopped","Automatic"
"mpssvc","Running","Automatic"
"MSDTC","Running","Automatic"
"MSiSCSI","Stopped","Manual"
"msiserver","Stopped","Manual"
"NcaSvc","Stopped","Manual"
"NcbService","Running","Manual"
"Netlogon","Stopped","Manual"
"Netman","Stopped","Manual"
"netprofm","Running","Manual"
"NetSetupSvc","Stopped","Manual"
"NetTcpPortSharing","Stopped","Disabled"
"NgcCtnrSvc","Stopped","Manual"
"NgcSvc","Stopped","Manual"
"NlaSvc","Running","Automatic"
"nsi","Running","Automatic"
"PcaSvc","Running","Manual"
"PerfHost","Stopped","Manual"
"PhoneSvc","Stopped","Manual"
"PimIndexMaintenanceSvc_2d9fe","Stopped","Manual"
"pla","Stopped","Manual"
"PlugPlay","Running","Manual"
"PolicyAgent","Stopped","Manual"
"Power","Running","Automatic"
"PrintNotify","Stopped","Manual"
"PrintWorkflowUserSvc_2d9fe","Stopped","Manual"
"ProfSvc","Running","Automatic"
"PushToInstall","Stopped","Manual"
"QWAVE","Stopped","Manual"
"RasAuto","Stopped","Manual"
"RasMan","Stopped","Manual"
"RemoteAccess","Stopped","Disabled"
"RemoteRegistry","Stopped","Automatic"
"RmSvc","Stopped","Manual"
"RpcEptMapper","Running","Automatic"
"RpcLocator","Stopped","Manual"
"RpcSs","Running","Automatic"
"RSoPProv","Stopped","Manual"
"sacsvr","Stopped","Manual"
"SamSs","Running","Automatic"
"SCardSvr","Stopped","Manual"
"ScDeviceEnum","Stopped","Manual"
"Schedule","Running","Automatic"
"SCPolicySvc","Stopped","Manual"
"seclogon","Stopped","Manual"
"SecurityHealthService","Stopped","Manual"
"SEMgrSvc","Stopped","Manual"
"SENS","Running","Automatic"
"Sense","Stopped","Manual"
"SensorDataService","Stopped","Manual"
"SensorService","Stopped","Manual"
"SensrSvc","Stopped","Manual"
"SessionEnv","Stopped","Manual"
"SgrmBroker","Stopped","Manual"
"SharedAccess","Stopped","Manual"
"ShellHWDetection","Running","Automatic"
"shpamsvc","Stopped","Disabled"
"smphost","Stopped","Manual"
"SNMPTRAP","Stopped","Manual"
"Spooler","Running","Automatic"
"sppsvc","Stopped","Automatic"
"SSDPSRV","Stopped","Disabled"
"ssh-agent","Stopped","Disabled"
"SstpSvc","Stopped","Manual"
"StateRepository","Running","Manual"
"stisvc","Stopped","Manual"
"StorSvc","Running","Manual"
"svsvc","Stopped","Manual"
"swprv","Stopped","Manual"
"SysMain","Running","Automatic"
"SystemEventsBroker","Running","Automatic"
"TabletInputService","Running","Manual"
"tapisrv","Stopped","Manual"
"TermService","Stopped","Manual"
"Themes","Running","Automatic"
"TieringEngineService","Stopped","Manual"
"TimeBrokerSvc","Running","Manual"
"TokenBroker","Running","Manual"
"TrkWks","Running","Automatic"
"TrustedInstaller","Stopped","Manual"
"tzautoupdate","Stopped","Disabled"
"UALSVC","Running","Automatic"
"UevAgentService","Stopped","Disabled"
"UmRdpService","Stopped","Manual"
"UnistoreSvc_2d9fe","Stopped","Manual"
"upnphost","Stopped","Disabled"
"UserDataSvc_2d9fe","Stopped","Manual"
"UserManager","Running","Automatic"
"UsoSvc","Running","Automatic"
"VaultSvc","Stopped","Manual"
"vds","Stopped","Manual"
"VGAuthService","Running","Automatic"
"vm3dservice","Running","Automatic"
"vmicguestinterface","Stopped","Manual"
"vmicheartbeat","Stopped","Manual"
"vmickvpexchange","Stopped","Manual"
"vmicrdv","Stopped","Manual"
"vmicshutdown","Stopped","Manual"
"vmictimesync","Stopped","Manual"
"vmicvmsession","Stopped","Manual"
"vmicvss","Stopped","Manual"
"VMTools","Running","Automatic"
"vmvss","Stopped","Manual"
"VSS","Stopped","Manual"
"W32Time","Running","Automatic"
"WaaSMedicSvc","Stopped","Manual"
"WalletService","Stopped","Manual"
"WarpJITSvc","Stopped","Manual"
"WbioSrvc","Stopped","Manual"
"Wcmsvc","Running","Automatic"
"WdiServiceHost","Stopped","Manual"
"WdiSystemHost","Stopped","Manual"
"WdNisSvc","Running","Manual"
"Wecsvc","Stopped","Manual"
